source,destination,cost,duration_minutes,flight_number,distance_miles
CLT,ATL,69,80,AA1802,227
CLT,DFW,135,165,AA2913,1033
CLT,MIA,119,135,AA3024,647
CLT,ORD,109,125,AA4135,587
CLT,IAH,129,155,AA5246,1037
CLT,MCO,89,110,AA6357,467
IAH,DFW,59,65,UA1913,224
IAH,ATL,149,170,UA2024,689
IAH,ORD,119,165,UA3135,940
IAH,DEN,129,160,UA4246,863
IAH,MIA,159,180,UA5357,964
IAH,MSY,75,75,UA6468,305
MSP,ORD,89,80,DL1024,334
MSP,DEN,115,145,DL2135,680
MSP,DTW,85,90,DL3246,528
MSP,ATL,125,155,DL4357,906
MSP,SEA,145,190,DL5468,1399
MSP,FAR,65,75,DL6579,218
DTW,ORD,89,75,DL1135,235
DTW,ATL,85,115,DL2246,595
DTW,MSP,89,85,DL3357,528
DTW,CLT,105,125,DL4468,505
DTW,BDL,125,125,DL5579,518
DTW,CLE,65,55,DL6680,90
EWR,ORD,99,130,UA1246,719
EWR,ATL,129,155,UA2357,748
EWR,IAH,159,245,UA3468,1400
EWR,SFO,179,350,UA4579,2565
EWR,BOS,85,70,B65680,200
EWR,PHL,55,50,UA6791,80
BOS,EWR,89,75,B61357,200
BOS,ATL,119,160,DL2468,946
BOS,ORD,135,155,AA3579,864
BOS,MCO,129,195,B64680,1123
BOS,MHT,45,40,B65791,45
BOS,PVD,39,35,B66802,42
JFK,ATL,135,155,DL1468,760
JFK,LAX,159,340,AA2579,2475
JFK,MIA,145,195,AA3680,1089
JFK,MCO,125,175,B64791,944
JFK,BOS,95,70,B65802,187
JFK,BUF,105,95,B66913,292
LGA,ATL,109,155,DL1579,762
LGA,ORD,119,145,AA2680,733
LGA,MIA,139,200,AA3791,1096
LGA,BOS,79,60,B64802,184
LGA,CLT,115,135,DL5913,544
LGA,PHL,65,55,AA6024,83
PHL,EWR,59,55,AA1680,80
PHL,LGA,69,60,AA2791,83
PHL,ATL,115,140,AA3802,665
PHL,ORD,129,150,AA4913,679
PHL,CLT,99,115,AA5024,449
PHL,PIT,75,75,AA6135,267
MIA,FLL,42,35,AA1791,21
MIA,ATL,92,130,DL2802,595
MIA,DFW,172,190,AA3913,1121
MIA,IAH,159,185,AA4024,964
MIA,CLT,119,145,AA5135,647
MIA,TPA,75,65,AA6246,204
FLL,MIA,45,40,AA1802,21
FLL,ATL,105,130,DL2913,581
FLL,MCO,55,55,B63024,179
FLL,BOS,145,210,B64135,1238
FLL,LGA,129,190,B65246,1076
FLL,PBI,35,30,B66357,43
TPA,MCO,49,50,WN1913,85
TPA,ATL,85,110,DL2024,405
TPA,MIA,79,70,AA3135,204
TPA,CLT,109,130,AA4246,567
TPA,DFW,155,175,AA5357,925
TPA,JAX,65,60,WN6468,126
JAX,MCO,53,55,B61024,141
JAX,ATL,79,95,DL2135,269
JAX,TPA,69,65,WN3246,126
JAX,MIA,99,95,AA4357,304
JAX,CLT,105,115,AA5468,393
JAX,SAV,55,50,DL6579,110
CLT,ATL,72,85,AA1135,227
CLT,ORD,112,130,AA2246,587
CLT,DFW,138,170,AA3357,1033
CLT,MIA,122,145,AA4468,647
CLT,IAH,132,160,AA5579,1037
CLT,RDU,55,45,AA6680,130
RDU,CLT,59,50,AA1246,130
RDU,ATL,85,105,DL2357,356
RDU,DFW,155,175,AA3468,1054
RDU,ORD,135,155,AA4579,645
RDU,MIA,145,160,AA5680,843
RDU,GSO,45,35,AA6791,62
DCA,ATL,115,135,AA1357,543
DCA,ORD,125,145,UA2468,612
DCA,CLT,95,105,AA3579,331
DCA,DFW,165,195,AA4680,1192
DCA,LGA,75,75,DL5791,214
DCA,IAD,35,30,UA6802,24
IAD,DCA,38,35,UA1468,24
IAD,ATL,119,140,UA2579,543
IAD,ORD,129,150,UA3680,589
IAD,DEN,175,235,UA4791,1482
IAD,SFO,195,325,UA5802,2442
IAD,LAX,185,315,UA6913,2288
BNA,ATL,75,90,WN1579,214
BNA,DFW,135,155,WN2680,623
BNA,CLT,99,110,AA3791,337
BNA,ORD,115,125,WN4802,409
BNA,DEN,155,175,WN5913,1008
BNA,IAH,125,145,WN6024,672
MEM,ATL,85,95,DL1680,332
MEM,DFW,125,145,AA2791,432
MEM,ORD,115,130,DL3802,482
MEM,DEN,145,170,WN4913,879
MEM,IAH,115,135,WN5024,484
MEM,BNA,55,55,WN6135,200
MSY,IAH,79,80,UA1791,305
MSY,ATL,95,110,DL2802,425
MSY,DFW,135,155,AA3913,447
MSY,CLT,129,150,AA4024,665
MSY,ORD,155,185,UA5135,833
MSY,MCO,115,135,WN6246,549
BHM,ATL,59,65,DL1802,135
BHM,CLT,99,105,AA2913,335
BHM,DFW,145,165,AA3024,581
BHM,IAH,125,145,AA4135,567
BHM,ORD,135,155,AA5246,585
BHM,MCO,115,135,DL6357,467
LIT,ATL,105,125,DL1913,456
LIT,DFW,95,115,AA2024,303
LIT,ORD,125,145,AA3135,547
LIT,IAH,95,110,WN4246,391
LIT,DEN,145,175,WN5357,715
LIT,CLT,129,155,AA6468,737
TUL,DFW,75,85,AA1024,222
TUL,DEN,115,135,WN2135,517
TUL,ORD,135,155,AA3246,585
TUL,IAH,105,125,UA4357,404
TUL,ATL,145,175,DL5468,723
TUL,OKC,45,40,WN6579,115
OKC,DFW,69,80,WN1135,183
OKC,DEN,105,130,WN2246,504
OKC,IAH,99,120,WN3357,416
OKC,ORD,135,165,UA4468,710
OKC,ATL,155,185,DL5579,772
OKC,TUL,49,45,WN6680,115
PHX,LAX,79,95,WN1246,369
PHX,DEN,75,125,WN2357,586
PHX,DFW,85,160,AA3468,868
PHX,LAS,59,80,WN4579,255
PHX,SFO,105,125,WN5680,651
PHX,SEA,125,180,WN6791,1107
SLC,DEN,85,110,DL1357,391
SLC,LAX,115,140,DL2468,590
SLC,SFO,125,145,DL3579,599
SLC,SEA,105,135,DL4680,689
SLC,PHX,95,120,DL5791,507
SLC,LAS,75,95,WN6802,368
ABQ,DEN,79,100,WN1468,349
ABQ,DFW,105,130,AA2579,569
ABQ,PHX,69,90,WN3680,328
ABQ,LAX,115,145,WN4791,677
ABQ,SLC,95,115,DL5802,488
ABQ,IAH,135,165,UA6913,829
LAS,LAX,52,70,WN1579,236
LAS,PHX,62,85,WN2680,255
LAS,DEN,59,105,WN3791,628
LAS,SFO,85,115,WN4802,414
LAS,SLC,79,100,WN5913,368
LAS,SEA,105,145,WN6024,867
SAN,LAX,65,70,WN1680,109
SAN,PHX,72,95,WN2791,304
SAN,DEN,115,145,WN3802,853
SAN,SFO,95,115,WN4913,447
SAN,LAS,75,90,WN5024,258
SAN,SEA,135,175,AS6135,1050
PDX,SEA,59,60,AS1791,129
PDX,SFO,89,110,DL2802,550
PDX,DEN,115,145,UA3913,991
PDX,LAX,105,140,DL4024,834
PDX,LAS,95,130,WN5135,763
PDX,SLC,99,125,DL6246,630
BOI,SEA,79,100,AS1802,399
BOI,DEN,105,130,UA2913,701
BOI,SLC,75,95,DL3024,300
BOI,PDX,85,105,AS4135,344
BOI,SFO,125,150,UA5246,525
BOI,LAS,95,125,WN6357,502
ANC,SEA,189,220,AS1913,1448
ANC,PDX,199,235,AS2024,1542
ANC,DEN,235,275,UA3135,2358
ANC,SFO,225,265,UA4246,2013
ANC,LAX,249,295,AS5357,2345
ANC,FAI,79,65,AS6468,264
HNL,LAX,229,315,HA1024,2556
HNL,SFO,245,325,HA2135,2397
HNL,SEA,265,345,HA3246,2677
HNL,PHX,285,365,HA4357,2917
HNL,DEN,315,405,UA5468,3365
HNL,LIH,65,45,HA6579,102
BIL,DEN,95,110,UA1135,504
BIL,SEA,135,155,AS2246,670
BIL,SLC,105,125,DL3357,386
BIL,MSP,155,165,DL4468,828
BIL,PDX,145,175,AS5579,688
BIL,BOI,115,135,AS6680,345
CHS,ATL,75,90,DL1246,262
CHS,CLT,69,75,AA2357,155
CHS,DFW,165,185,AA3468,1020
CHS,IAH,155,175,UA4579,967
CHS,ORD,155,185,UA5680,759
CHS,MIA,135,160,AA6791,664
BDL,ATL,135,155,DL1357,946
BDL,CLT,125,145,AA2468,546
BDL,ORD,155,175,AA3579,729
BDL,DFW,185,215,AA4680,1388
BDL,DTW,129,140,DL5791,518
BDL,BOS,45,40,B66802,75
PVD,BOS,42,40,B61468,42
PVD,ATL,135,165,DL2579,853
PVD,CLT,125,150,AA3680,566
PVD,ORD,165,185,AA4791,849
PVD,EWR,75,65,UA5802,158
PVD,BDL,35,30,B66913,52
MHT,BOS,48,45,B61579,45
MHT,ATL,139,170,DL2680,938
MHT,CLT,129,155,AA3791,610
MHT,ORD,169,190,AA4802,938
MHT,EWR,79,70,UA5913,209
MHT,BDL,42,35,B66024,65
PIT,DTW,79,80,DL1680,182
PIT,ORD,115,125,AA2791,410
PIT,ATL,125,145,DL3802,526
PIT,CLT,99,110,AA4913,365
PIT,PHL,79,85,AA5024,267
PIT,EWR,95,95,UA6135,319
CLE,DTW,69,60,DL1791,90
CLE,ORD,95,95,UA2802,316
CLE,ATL,115,135,DL3913,554
CLE,CLT,109,130,AA4024,416
CLE,EWR,115,125,UA5135,405
CLE,PIT,65,55,DL6246,115
IND,ORD,85,85,UA1802,165
IND,ATL,105,120,DL2913,434
IND,CLT,109,130,AA3024,491
IND,DFW,145,165,AA4135,802
IND,DEN,145,175,UA5246,1009
IND,DTW,85,90,DL6357,235
CMH,ATL,105,125,DL1913,454
CMH,ORD,99,105,UA2024,296
CMH,CLT,109,125,AA3135,389
CMH,DFW,155,180,AA4246,928
CMH,DTW,75,70,DL5357,130
CMH,CLE,59,50,DL6468,128
CVG,ATL,89,110,DL1024,373
CVG,CLT,99,120,AA2135,337
CVG,ORD,105,115,UA3246,264
CVG,DFW,149,175,AA4357,812
CVG,DTW,85,85,DL5468,229
CVG,CLE,75,70,DL6579,92
MKE,ORD,65,60,UA1135,67
MKE,ATL,115,140,DL2246,684
MKE,DEN,135,165,UA3357,883
MKE,DFW,155,180,AA4468,864
MKE,MSP,85,90,DL5579,296
MKE,DTW,95,95,DL6680,235
MSP,ORD,92,85,DL1246,334
MSP,DEN,119,150,DL2357,680
MSP,DTW,88,92,DL3468,528
MSP,ATL,128,160,DL4579,906
MSP,SEA,148,195,DL5680,1399
MSP,MKE,88,95,DL6791,296
DSM,ORD,105,115,UA1357,298
DSM,DEN,125,145,UA2468,584
DSM,ATL,145,170,DL3579,732
DSM,DFW,145,170,AA4680,586
DSM,MSP,75,80,DL5791,242
DSM,MKE,95,105,UA6802,297
STL,ORD,89,95,UA1468,258
STL,ATL,109,130,DL2579,481
STL,DFW,125,150,AA3680,547
STL,DEN,135,165,WN4791,768
STL,CLT,125,145,AA5802,589
STL,IAH,129,150,WN6913,679
MCI,DEN,105,130,WN1579,558
MCI,DFW,115,140,AA2680,460
MCI,ORD,115,130,UA3791,403
MCI,ATL,135,160,DL4802,639
MCI,IAH,125,150,UA5913,644
MCI,STL,65,65,WN6024,238
OMA,DEN,95,120,UA1680,442
OMA,ORD,115,135,UA2791,416
OMA,DFW,135,160,AA3802,586
OMA,ATL,155,180,DL4913,822
OMA,MSP,105,120,DL5024,289
OMA,MCI,75,75,WN6135,152
FAR,MSP,69,80,DL1791,218
FAR,DEN,135,160,UA2802,695
FAR,ORD,155,175,UA3913,663
FAR,ATL,185,215,DL4024,1143
FAR,SEA,175,205,AS5135,1149
FAR,BIL,115,135,AS6246,476
BIS,MSP,115,130,DL1802,370
BIS,DEN,145,170,UA2913,695
BIS,ORD,175,200,UA3024,758
BIS,SEA,195,230,AS4135,1245
BIS,FAR,75,75,DL5246,193
BIS,BIL,135,160,AS6357,420
RIC,ATL,95,115,DL1913,473
RIC,CLT,75,85,AA2024,254
RIC,ORD,145,165,AA3135,589
RIC,DFW,175,200,AA4246,1080
RIC,EWR,95,95,UA5357,287
RIC,DCA,55,50,AA6468,98
SDF,ATL,85,105,DL1024,321
SDF,CLT,95,115,AA2135,345
SDF,ORD,105,120,UA3246,282
SDF,DFW,145,170,AA4357,791
SDF,IAH,135,160,WN5468,862
SDF,CVG,45,40,DL6579,80
BDL,ATL,138,160,DL1135,946
BDL,CLT,128,150,AA2246,546
BDL,ORD,158,180,AA3357,729
BDL,DFW,188,220,AA4468,1388
BDL,DTW,132,145,DL5579,518
BDL,BOS,48,45,B66680,75
PWM,BOS,52,50,B61246,95
PWM,EWR,95,105,UA2357,280
PWM,ATL,155,190,DL3468,1073
PWM,CLT,145,175,AA4579,698
PWM,ORD,185,210,AA5680,973
PWM,BDL,65,60,B66791,120
BTV,BOS,75,70,B61357,184
BTV,EWR,105,110,UA2468,266
BTV,ATL,165,195,DL3579,937
BTV,ORD,175,205,UA4680,725
BTV,CLT,155,185,AA5791,625
BTV,PWM,55,50,B66802,148
ALB,BOS,85,80,B61468,136
ALB,EWR,79,75,UA2579,144
ALB,ATL,155,185,DL3680,861
ALB,ORD,165,195,UA4791,723
ALB,CLT,145,175,AA5802,576
ALB,BDL,55,50,B66913,92
BUF,JFK,109,100,B61579,292
BUF,EWR,95,95,UA2680,282
BUF,ORD,135,150,AA3791,454
BUF,ATL,145,175,DL4802,712
BUF,CLT,125,155,AA5913,443
BUF,DTW,85,85,DL6024,216
SYR,BOS,115,115,B61680,246
SYR,EWR,99,100,UA2791,206
SYR,ATL,145,175,DL3802,768
SYR,ORD,145,170,AA4913,620
SYR,CLT,129,160,AA5024,497
SYR,BUF,59,55,DL6135,77
ROC,EWR,105,110,UA1791,267
ROC,ATL,145,175,DL2802,743
ROC,ORD,145,170,AA3913,473
ROC,CLT,129,160,AA4024,451
ROC,DTW,89,90,DL5135,233
ROC,BUF,52,50,DL6246,56
SFO,LAX,92,88,UA1802,337
SFO,SEA,102,135,DL2913,679
SFO,DEN,112,158,UA3024,967
SFO,ORD,152,258,UA4135,1846
SFO,PDX,92,112,DL5246,550
SFO,SLC,118,142,DL6357,599
SEA,SFO,105,130,DL1913,679
SEA,LAX,122,178,DL2024,954
SEA,DEN,132,168,UA3135,1024
SEA,PDX,58,62,AS4246,129
SEA,ANC,192,222,AS5357,1448
SEA,BOI,78,102,AS6468,404
SAV,ATL,62,75,DL1135,216
SAV,CLT,89,100,AA2246,239
SAV,ORD,155,185,UA3357,778
SAV,DFW,175,205,AA4468,963
SAV,MIA,139,165,AA5579,586
SAV,JAX,58,58,DL6680,110
GSO,CLT,58,55,AA1246,79
GSO,ATL,85,100,DL2357,273
GSO,DFW,165,190,AA3468,1026
GSO,ORD,155,180,AA4579,693
GSO,IAH,159,185,UA5680,987
GSO,RDU,48,45,AA6791,62
RNO,SFO,95,110,WN1357,192
RNO,LAX,99,120,WN2468,386
RNO,DEN,115,145,UA3579,638
RNO,SEA,125,165,AS4680,570
RNO,LAS,69,85,WN5791,345
RNO,PHX,115,145,WN6802,601
LIH,HNL,68,48,HA1468,102
LIH,LAX,285,330,HA2579,2614
LIH,SFO,295,340,HA3680,2557
LIH,SEA,315,370,HA4791,2701
LIH,PHX,325,390,HA5802,2963
FAI,ANC,82,68,AS1579,264
FAI,SEA,225,260,AS2680,1533
FAI,PDX,245,285,AS3791,1727
FAI,DEN,275,315,UA4802,2482
FAI,MSP,265,305,DL5913,2111
PBI,FLL,38,35,B61680,43
PBI,MIA,58,55,AA2791,65
PBI,ATL,115,145,DL3802,548
PBI,MCO,72,75,B64913,130
PBI,CLT,135,165,AA5024,691
PBI,DFW,185,215,AA6135,1109
